sentence,conditions,decisions,processes,proportions,other,equipment,labor,bird,weather,cost,time,seeding,credit,land,otherr
"During harvest, there’s a few factors to consider.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"For the majority, you have to ask if you have equipment ready to harvest.",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"This choice depends on different factors: Are you willing to harvest very rapidly because you’re having bird attacks or other damages that speed up your timeline; is it wet or dry, because the humidity of the paddy means some might be lost by machinery; and labor is cheaper than equipment.",0,1,1,1,0,1,1,1,1,1,1,0,0,0,0
"Also it depends on what kind of harvest you expect — will you be able to pay for machinery, or not?",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Not harvesting when there’s birds costs you time and money in terms of labor to let go (?) the birds.,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0
"A final factor is that you need to repay your loans before you can get new credit, so you want to harvest faster so you can repay faster. ",1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"Dr. Fall believes that if you have a small plot, it’s best to use manual labor if you harvest on time.",1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
"If you have a big plot, there’s no way you can harvest it all on time by labor!",1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
"Unfortunately, everybody wants to harvest at the last moment, and then there’s no service providers available. ",0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Another factor is that labor gets more expensive when there’s crops being harvested for export markets that compete.,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
"But for seeding and harvesting, it mostly comes from hired labor. ",0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"There’s seeding periods, harvest periods, where labor is needed in various industries and there’s a competition.",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
" But during harvest time for rice, harvest for rice corresponds to seeding period for horticulture croppings.",0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"So if those farms need labor for horticulture, they may compete with farms that need harvest labor.",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"They’ll hire temporary labor for periods like seeding and harvesting, but there’s still room for small farmers. ",0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
"Farmers really need hired labor for harvesting; for the seeding period, they may be able to rely on family labor.",1,0,1,0,0,0,1,0,0,0,1,1,0,0,0
"But if you go for manual labor, it might take three people three days (8/hr a day) to harvest one hectare.",1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
Service providers need to check before they agree to harvest.,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
It’s because they harvest late and they don’t have time to go for labor.,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Dr. Fall says there can be positive or negative effects of climate change on harvest time.,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
"You have to make sure to harvest on time, clean up the plot, that you have the money to get the inputs you need on time (you have your own money or you go to another lender), etc",0,0,0,0,1,0,0,0,0,0,1,0,1,1,0
 We could see horticulture harvests around January and early February (we would see a lot of farms doing onions and tomatoes).,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Harvest delays due to restricted access to labor and equipment.,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0
" Since people harvest in June or late July, it takes roughly 3 months to collect debts.",0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"The bulletin says the remaining credit comes from credit loaned on onions, which is supposed to be paid by June — six months between onion harvest and full credit reimbursement!",0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
