,chunks
0,able
1,access
2,advise
3,afford
4,agency
5,agribusinesse
6,allow
7,almost
8,already
9,always
10,ancar
11,animal
12,another
13,appropriate
14,april
15,area
16,around
17,availability
18,b
19,bad
20,bank
21,base
22,beginning
23,believe
24,benefit
25,big
26,billon
27,bulletin
28,buy
29,c
30,canning
31,capable
32,care
33,case
34,cash
35,catch
36,certain
37,chain
38,change
39,check
40,cheryl
41,choose
42,claim
43,clear
44,cold
45,come
46,coming
47,commercialization
48,compare
49,compete
50,competition
51,complain
52,condition
53,confirm
54,constraint
55,consumer
56,consumption
57,contract
58,contrarian
59,cooperative
60,correspond
61,cotton
62,could
63,create
64,credit
65,crop
66,cropping
67,cut
68,dagana
69,dakar
70,damage
71,dap
72,datum
73,day
74,december
75,demand
76,department
77,depend
78,determine
79,different
80,difficult
81,direct
82,divide
83,domestic
84,dr
85,drop
86,dry
87,early
88,earn
89,easy
90,economically
91,effort
92,either
93,else
94,emphasize
95,end
96,enough
97,even
98,everyone
99,everywhere
100,exist
101,expect
102,expectation
103,expected
104,expensive
105,export
106,extend
107,extension
108,facilitate
109,fail
110,fall
111,farm
112,farmer
113,feb
114,february
115,fertilizer
116,field
117,finally
118,firm
119,fishery
120,five
121,flood
122,focus
123,follow
124,food
125,forestry
126,formula
127,france
128,full
129,furrow
130,get
131,glut
132,go
133,good
134,government
135,grace
136,grow
137,grower
138,growth
139,guess
140,half
141,handle
142,happen
143,harvest
144,head
145,health
146,hectare
147,high
148,hike
149,holiday
150,holland
151,horticulture
152,hot
153,hunger
154,hypothetical
155,imitative
156,impact
157,import
158,importer
159,incentivize
160,include
161,increase
162,industrial
163,industry
164,influence
165,information
166,infrastructure
167,input
168,instead
169,interested
170,international
171,internationally
172,investment
173,january
174,july
175,june
176,kaolack
177,keep
178,kind
179,know
180,labor
181,lady
182,last
183,late
184,law
185,lead
186,leader
187,leave
188,less
189,let
190,life
191,like
192,little
193,livestock
194,lobby
195,local
196,locally
197,look
198,lot
199,louis
200,low
201,macroeconomic
202,main
203,mainly
204,majority
205,make
206,many
207,market
208,matter
209,may
210,maybe
211,mechanism
212,mention
213,mid
214,might
215,miller
216,miss
217,money
218,month
219,mostly
220,mr
221,much
222,must
223,nation
224,national
225,ndiaye
226,need
227,neighbor
228,niaye
229,note
230,notice
231,november
232,october
233,oh
234,one
235,operator
236,opportunity
237,option
238,order
239,organization
240,orient
241,overhear
242,paddy
243,pay
244,payoff
245,peanut
246,people
247,perhaps
248,period
249,pick
250,picture
251,plant
252,planting
253,plot
254,plus
255,podor
256,policy
257,politic
258,potato
259,power
260,prefer
261,pressure
262,prevent
263,price
264,priority
265,private
266,probably
267,problem
268,processor
269,produce
270,producer
271,profit
272,profitable
273,promotion
274,protect
275,quality
276,quite
277,rain
278,rainy
279,rate
280,real
281,really
282,regardless
283,region
284,regular
285,regulation
286,remain
287,remnant
288,require
289,result
290,rice
291,right
292,salad
293,saving
294,say
295,scale
296,scandinavia
297,science
298,season
299,sector
300,see
301,seed
302,sell
303,senegal
304,sept
305,sheep
306,shield
307,similar
308,six
309,social
310,soil
311,someone
312,something
313,sometimes
314,space
315,specialize
316,squash
317,srv
318,ssf
319,st
320,start
321,still
322,stop
323,storage
324,store
325,stuff
326,subsidize
327,subsistence
328,supply
329,support
330,suppose
331,surplus
332,switch
333,system
334,table
335,tax
336,term
337,thing
338,think
339,third
340,though
341,tie
342,time
343,towards
344,trader
345,twice
346,two
347,type
348,unfair
349,unless
350,use
351,usually
352,value
353,variety
354,vary
355,vc
356,vegetable
357,want
358,water
359,weed
360,well
361,whether
362,wide
363,within
364,without
365,work
366,world
367,would
368,year
369,yes
370,yield
371,zone
