,stripped,readable
0,speak uganda medium center kampala hesfb executive director michael wanyama say successful applicant lot th cohort student loan scheme beneficiary academic year,"Speaking at the Uganda Media Center in Kampala, HESFB executive director, Michael Wanyama, said the successful applicants are under Lot 1 of the 8th cohort of the students loan scheme beneficiaries for the academic year 202122."
1,kampala since jennifer musisi time singe song decongeste city much try lord mayor political squad mislead people,"In Kampala, since Jennifer Musisi s time, they have been singing the song of decongesting the city but as much as they have tried to do so, the lord mayor and his political squad have also misled people."
2,kampala journal report say measure fine particle air mass explain condensed particle crustal specie soot burn fire manufacturing process motor vehicle carbonaceous aerosol ,"In Kampala, the Journal report said, over 90% of the measured fine particles in the air mass can be explained by condensed particles (crustal species and between 41% and 59%) and soot from burning fires, manufacturing processes, and motor vehicles (carbonaceous aerosol at between 33% and 55%)."
3,glaring snub besigye ssuubi linchpin kampala central mp erias lukwago proceed contest kampala mayoral seat without formal ipc endorsement,"In a glaring snub to Besigye, Ssuubi linchpin, Kampala Central MP Erias Lukwago has proceeded to contest for the Kampala mayoral seat without formal IPC endorsement."
4,mutebile tell meeting kampala friday opportunity borrow non concessional expensive money meet infrastructure need become tempting especially anticipation oil revenue serve collateral borrow international market,"But Mutebile told a meeting in Kampala on Friday that the opportunity to borrow non-concessional expensive money to meet infrastructure needs has become very tempting, especially in anticipation of oil revenues, which serve as collateral for borrowing from international markets."
5,preferential trade area bank pta know eastern southern african trade development bank hold bank business seminar sheraton hotel kampala th june,"The Preferential Trade Area Bank (PTA), also known as the Eastern & Southern African Trade & Development Bank, held a Bank Business Seminar at Sheraton Hotel in Kampala on the 27th of June."
6,transport tonne good mombasa kampala currently we,Transport of a tonne of goods from Mombasa to Kampala is currently US$150.
7,term transport sector anticipate near rainfall pattern likely occasionally accompany intense rainfall event may lead flash flooding localize place especially kampala urban area,"In terms of the transports sector, it is anticipated that near rainfall patterns are likely to be occasionally accompanied by intense rainfall events that may lead to flash flooding in some localized places especially in Kampala and other urban areas."
8,train lawyer muhoozi join army year take kampala,"A trained lawyer, Muhoozi joined the Army in 1985, a year before the take over of Kampala."
9,light rail great kampala metropolitan area gkma ease transportation around kampala,"No, the light rail is for the Greater Kampala Metropolitan Area (GKMA) that will ease transportation in and around Kampala."
10,lake mburo close park kampala access road air,Lake Mburo is the closest park to Kampala and can be accessed by road or air.
11,dozen people kill several other injure mostly kampala security force try quell riot follow arrest two opposition politician allegation violate covid containment measure,"Dozens of people were killed and several others injured mostly in Kampala, as security forces tried to quell riots that followed the arrest of two opposition politicians on allegations of violating COVID-19 containment measures."
12,tactically therefore besigye extremely successful undermine confidence nrm supporter president government cripple government diplomatic standing dent country image investment destination shut city force closure bank stop people work reduce inflow good kampala turn national attention person,"Tactically, therefore, Besigye has been extremely successful in undermining the confidence of NRM supporters in their president and government, crippling the government s diplomatic standing, dented the country s image as an investment destination, shut down the city, forced the closure of banks, stopped people from work, reduced the inflow of goods into Kampala and turned national attention to his person."
13,move cargo mombasa kampala rail half price road, To move cargo from Mombasa to Kampala by rail is about half of the price by road.
14,east african brewery limit launch page sustainability report title craft sustainable future report society serena hotel kampala september,"East African Breweries Limited launched a 124-page sustainability report titled, Crafting a sustainable future: Our report to society 2021 at Serena hotel Kampala on September 1, 2021."
15,kampala havana support international forum non align movement group plus china un defend protect interest strategic political economic association,"Kampala and Havana support each other in international forums through the Non-Aligned Movement, the Group of 77 plus China and the UN to defend and protect their interests and strategic political and economic associations."
16,aug ministry energy headquarters amber house kampala bee hive activity,On Aug.9 the Ministry of Energy headquarters at Amber House in Kampala was a bee-hive of activity.
17,mcdade comment kick storm government circle kampala,McDade s comment kicked up a storm in government circles in Kampala.
18,management top radio top tv own pastor jackson ssenyonga christian life church bwaise outskirt kampala overhaul daily political talk show,"As such, the management of Top radio and Top TV, owned by Pastor Jackson Ssenyonga of the Christian Life Church in Bwaise on the outskirts of Kampala, have had an overhaul of their daily political talk shows."
19,reason people export without document uepb award certificate origin preferential market one office kampala,"The reason people are exporting without documents is because UEPB, which awards the certificate of origin in preferential markets, has only one office in Kampala."
20,go kampala pick people line vote president general mob justice,You don t go to Kampala and pick up people and then line them up to vote for you as president general; that is mob justice.
21,urn establish government recall total chinese national arrive country tuesday kampala institutional quarantining,URN has established that government has recalled a total of 85 Chinese nationals who arrived in the country on Tuesday in Kampala for institutional quarantining.
22,finance minister matia kasaija deliver budget kololo ceremonial ground kampala tuesday june say override goal rule government achieve socio economic transformation benefit ugandans thus improve life,"Finance minister Matia Kasaija, while delivering the budget at Kololo Ceremonial Grounds in Kampala on Tuesday, June 14, 2022, said the overriding goal of the ruling government is to achieve socio-economic transformation for the benefit of all Ugandans and thus improve their lives."
23,speak press conference hold office kampala thursday upcoming annual prosecutor symposium th joan kagezi memorial lecture schedule take place next week april th th,She was speaking at a press conference held in her Office in Kampala on Thursday on the upcoming Annual Prosecutor s symposium and the 6th Joan Kagezi Memorial Lecture that is scheduled to take place next week from April 25th to 28th.
24,say experience drive hotel kampala,She said she experienced this once when she was being driven to a hotel in Kampala.
25,mogadishu somalia independent uganda people defence force updf headquarters kampala confirm day ago al shabaab militant repulse attempt attack contingent somalia,"Mogadishu, Somalia | THE INDEPENDENT | The Uganda People s Defence Forces (UPDF) headquarters in Kampala has confirmed that a few days ago, Al-Shabaab militants were repulsed in an attempted attack on their contingent in Somalia."
