,chunks
0,able
1,access
2,advise
3,afford
4,agency
5,agribusinesse
6,allow
7,almost
8,already
9,always
10,ancar
11,animal
12,another
13,appropriate
14,april
15,area
16,around
17,availability
18,b
19,back
20,bad
21,bank
22,base
23,beginning
24,believe
25,benefit
26,big
27,billon
28,bulletin
29,buy
30,c
31,canning
32,capable
33,care
34,case
35,cash
36,catch
37,certain
38,chain
39,change
40,check
41,cheryl
42,choose
43,claim
44,clear
45,cold
46,come
47,coming
48,commercialization
49,compare
50,compete
51,competition
52,complain
53,condition
54,confirm
55,constraint
56,consumer
57,consumption
58,contract
59,contrarian
60,cooperative
61,correspond
62,cotton
63,could
64,create
65,credit
66,crop
67,cropping
68,cut
69,dagana
70,dakar
71,damage
72,dap
73,datum
74,day
75,december
76,demand
77,department
78,depend
79,determine
80,different
81,difficult
82,direct
83,divide
84,domestic
85,dr
86,drop
87,dry
88,early
89,earn
90,easy
91,economically
92,effort
93,either
94,else
95,emphasize
96,end
97,enough
98,even
99,everyone
100,everywhere
101,exist
102,expect
103,expectation
104,expensive
105,export
106,extend
107,extension
108,facilitate
109,fail
110,fall
111,farm
112,farmer
113,feb
114,february
115,fertilizer
116,field
117,finally
118,firm
119,fishery
120,five
121,flood
122,focus
123,follow
124,food
125,forestry
126,formula
127,france
128,full
129,furrow
130,get
131,glut
132,go
133,good
134,government
135,grace
136,grow
137,grower
138,growth
139,guess
140,half
141,handle
142,happen
143,harvest
144,head
145,health
146,hectare
147,high
148,hike
149,holiday
150,holland
151,horticulture
152,hot
153,hunger
154,hypothetical
155,imitative
156,impact
157,import
158,importer
159,incentivize
160,include
161,increase
162,industrial
163,industry
164,influence
165,information
166,infrastructure
167,input
168,instead
169,interested
170,international
171,internationally
172,investment
173,january
174,july
175,june
176,kaolack
177,keep
178,kind
179,know
180,labor
181,lady
182,last
183,late
184,law
185,lead
186,leader
187,leave
188,less
189,let
190,life
191,like
192,little
193,livestock
194,loan
195,lobby
196,local
197,locally
198,look
199,lot
200,louis
201,low
202,macroeconomic
203,main
204,mainly
205,majority
206,make
207,many
208,market
209,matter
210,may
211,maybe
212,mechanism
213,mention
214,mid
215,might
216,miller
217,miss
218,money
219,month
220,mostly
221,mr
222,much
223,must
224,nation
225,national
226,ndiaye
227,need
228,neighbor
229,niaye
230,note
231,notice
232,november
233,october
234,oh
235,one
236,onion
237,operator
238,opportunity
239,option
240,order
241,organization
242,orient
243,overheard
244,paddy
245,pay
246,payoff
247,peanut
248,people
249,perhaps
250,period
251,pick
252,picture
253,plant
254,planting
255,plot
256,plus
257,podor
258,policy
259,politic
260,potato
261,power
262,prefer
263,pressure
264,prevent
265,price
266,priority
267,private
268,probably
269,problem
270,processor
271,produce
272,producer
273,production
274,profit
275,profitable
276,promotion
277,protect
278,quality
279,quite
280,rain
281,rainy
282,rate
283,real
284,really
285,regardless
286,region
287,regular
288,regulation
289,reimbursement
290,remain
291,remnant
292,require
293,result
294,rice
295,right
296,salad
297,saving
298,say
299,scale
300,scandinavia
301,science
302,season
303,sector
304,see
305,seed
306,sell
307,senegal
308,sept
309,sheep
310,shield
311,similar
312,six
313,social
314,soil
315,someone
316,something
317,sometimes
318,space
319,specialize
320,squash
321,srv
322,ssf
323,st
324,start
325,still
326,stop
327,storage
328,store
329,stuff
330,subsidize
331,subsistence
332,supply
333,support
334,suppose
335,surplus
336,switch
337,system
338,table
339,tax
340,term
341,thing
342,think
343,third
344,though
345,tie
346,time
347,tomato
348,tomatoe
349,towards
350,trader
351,twice
352,two
353,type
354,unfair
355,unless
356,use
357,usually
358,value
359,variety
360,vary
361,vc
362,vegetable
363,want
364,water
365,weed
366,well
367,whether
368,wide
369,within
370,without
371,work
372,world
373,would
374,year
375,yes
376,zone
